session_year,party,seats_over_side,caption,table_str,data,legislator,id,seat
1891-01-01T12:00:00Z,Democrat,NA,<strong>1891</strong> Party affiliations unknown.,NA,majority,NA,NA,NA
1891-01-01T12:00:00Z,Republican,NA,<strong>1891</strong> Party affiliations unknown.,NA,majority,NA,NA,NA
1893-01-01T12:00:00Z,Democrat,-0,"<strong>1893</strong> <span style = ""color:#E41A1C"">Republicans</span> have  8 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 38 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 19 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> People's </td>
   <td style=""text-align:right;""> 3 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1893-01-01T12:00:00Z,Republican,8,"<strong>1893</strong> <span style = ""color:#E41A1C"">Republicans</span> have  8 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 38 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 19 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> People's </td>
   <td style=""text-align:right;""> 3 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1895-01-01T12:00:00Z,Democrat,-0,"<strong>1895</strong> <span style = ""color:#E41A1C"">Republicans</span> have  23 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 53 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> People's </td>
   <td style=""text-align:right;""> 7 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1895-01-01T12:00:00Z,Republican,23,"<strong>1895</strong> <span style = ""color:#E41A1C"">Republicans</span> have  23 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 53 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> People's </td>
   <td style=""text-align:right;""> 7 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1897-01-01T12:00:00Z,Democrat,-0,"<strong>1897</strong> <span style = ""color:#E41A1C"">Republicans</span> have  9 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 39 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> People's </td>
   <td style=""text-align:right;""> 13 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 4 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Union </td>
   <td style=""text-align:right;""> 3 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> NA </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1897-01-01T12:00:00Z,Republican,9,"<strong>1897</strong> <span style = ""color:#E41A1C"">Republicans</span> have  9 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 39 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> People's </td>
   <td style=""text-align:right;""> 13 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 4 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Union </td>
   <td style=""text-align:right;""> 3 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> NA </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1899-01-01T12:00:00Z,Democrat,-0,"<strong>1899</strong> <span style = ""color:#E41A1C"">Republicans</span> have  16 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 46 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 6 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> People's </td>
   <td style=""text-align:right;""> 4 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Union </td>
   <td style=""text-align:right;""> 4 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1899-01-01T12:00:00Z,Republican,16,"<strong>1899</strong> <span style = ""color:#E41A1C"">Republicans</span> have  16 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 46 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 6 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> People's </td>
   <td style=""text-align:right;""> 4 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Union </td>
   <td style=""text-align:right;""> 4 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1901-01-01T12:00:00Z,Democrat,-0,"<strong>1901</strong> <span style = ""color:#E41A1C"">Republicans</span> have  6 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 35 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Citizen </td>
   <td style=""text-align:right;""> 13 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 7 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Union </td>
   <td style=""text-align:right;""> 3 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> People's </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1901-01-01T12:00:00Z,Republican,6,"<strong>1901</strong> <span style = ""color:#E41A1C"">Republicans</span> have  6 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 35 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Citizen </td>
   <td style=""text-align:right;""> 13 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 7 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Union </td>
   <td style=""text-align:right;""> 3 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> People's </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1903-01-01T12:00:00Z,Democrat,-0,"<strong>1903</strong> <span style = ""color:#E41A1C"">Republicans</span> have  19 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 49 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 10 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Citizen </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1903-01-01T12:00:00Z,Republican,19,"<strong>1903</strong> <span style = ""color:#E41A1C"">Republicans</span> have  19 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 49 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 10 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Citizen </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1905-01-01T12:00:00Z,Democrat,-0,"<strong>1905</strong> <span style = ""color:#E41A1C"">Republicans</span> have  20 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 50 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 10 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1905-01-01T12:00:00Z,Republican,20,"<strong>1905</strong> <span style = ""color:#E41A1C"">Republicans</span> have  20 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 50 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 10 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1907-01-01T12:00:00Z,Democrat,-0,"<strong>1907</strong> <span style = ""color:#E41A1C"">Republicans</span> have  29 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 59 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1907-01-01T12:00:00Z,Republican,29,"<strong>1907</strong> <span style = ""color:#E41A1C"">Republicans</span> have  29 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 59 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
